partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
feature_interaction,1,14,13,CX,XFE,cross-feature entangling motifs,0.00546875,0.006850987896373047,5,"[-0.005078125, 0.0007812499999999998, 0.01171875, 0.006640624999999999, 0.013281249999999998]"
feature_interaction,1,15,14,RY,C,trainable classifier,0.023906250000000007,0.02391492898013708,5,"[-0.0078125, 0.032031250000000004, 0.056250000000000036, 0.03828125, 0.0007812499999999998]"
feature_interaction,1,16,15,RY,C,trainable classifier,0.010468749999999995,0.01898678611232032,5,"[-0.002343750000000002, -0.004687499999999998, -0.00703125, 0.039062499999999986, 0.027343749999999997]"
feature_interaction,1,17,16,CX,C,trainable classifier,0.004843749999999999,0.010357383386985344,5,"[-0.0015624999999999997, -0.009375000000000001, 0.02109375, 0.010156249999999999, 0.0039062499999999974]"
feature_interaction,1,18,17,RY,C,trainable classifier,0.006875000000000001,0.012137316553711537,5,"[0.015625000000000003, 0.004687500000000003, -0.014843750000000008, 0.008593749999999997, 0.020312500000000004]"
feature_interaction,1,19,18,RY,C,trainable classifier,0.008906249999999998,0.013662720149186984,5,"[0.006249999999999998, 0.0007812500000000033, 0.006249999999999998, 0.03515625, -0.003906250000000004]"
feature_interaction,8,2,1,P,L,local feature encoding,0.006738281250000001,0.004995095708806456,5,"[0.005957031249999998, 0.006689453125000005, -0.001074218749999994, 0.007470703125000007, 0.014648437499999991]"
feature_interaction,8,4,3,P,L,local feature encoding,0.004355468749999999,0.003811272095102919,5,"[0.004980468750000009, 0.004785156249999995, 0.003076171874999994, -0.0014648437500000078, 0.010400390625000006]"
feature_interaction,8,5,4,CX,XFE,cross-feature entangling motifs,0.00017578125000000075,0.0035258639960930563,5,"[-4.882812500000026e-05, 0.005712890624999996, 0.0020507812500000027, -0.004443359374999995, -0.002392578125]"
feature_interaction,8,6,5,P,XFE,cross-feature entangling motifs,-0.022216796874999993,0.005263753405560602,5,"[-0.026611328125, -0.019384765624999988, -0.01752929687499998, -0.0302734375, -0.017285156250000003]"
feature_interaction,8,7,6,CX,XFE,cross-feature entangling motifs,-0.002480468750000001,0.0034259672038328493,5,"[-0.0006835937499999971, -0.007080078125000002, -0.002880859375000004, -0.0046874999999999955, 0.0029296874999999944]"
feature_interaction,8,8,7,H,L,local feature encoding,0.03616210937499999,0.006323843555501122,5,"[0.03925781249999998, 0.04248046874999999, 0.033886718749999975, 0.024853515625, 0.040332031249999976]"
