r,subset_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,2-9-20,2-9-20,1-2-3-8-9-10-15-17-20,3,9,0.603,0
3,2-9-21,2-9-21,1-2-3-8-9-10-15-17-21,3,9,0.706,0
3,4-11-12,4-11-12,1-3-4-8-10-11-12-15-17,3,9,0.57,0
3,4-11-13,4-11-13,1-3-4-8-10-11-13-15-17,3,9,0.578,0
3,4-11-14,4-11-14,1-3-4-8-10-11-14-15-17,3,9,0.57,0
3,4-11-16,4-11-16,1-3-4-8-10-11-15-16-17,3,9,0.618,0
3,4-11-18,4-11-18,1-3-4-8-10-11-15-17-18,3,9,0.567,0
3,4-11-19,4-11-19,1-3-4-8-10-11-15-17-19,3,9,0.57,0
3,4-11-20,4-11-20,1-3-4-8-10-11-15-17-20,3,9,0.676,0
3,4-11-21,4-11-21,1-3-4-8-10-11-15-17-21,3,9,0.57,0
3,4-12-13,4-12-13,1-3-4-8-10-12-13-15-17,3,9,0.58,0
3,4-12-14,4-12-14,1-3-4-8-10-12-14-15-17,3,9,0.557,0
3,4-12-16,4-12-16,1-3-4-8-10-12-15-16-17,3,9,0.74,0
3,4-12-18,4-12-18,1-3-4-8-10-12-15-17-18,3,9,0.574,0
3,4-12-19,4-12-19,1-3-4-8-10-12-15-17-19,3,9,0.557,0
3,4-12-20,4-12-20,1-3-4-8-10-12-15-17-20,3,9,0.661,0
3,4-12-21,4-12-21,1-3-4-8-10-12-15-17-21,3,9,0.557,0
3,4-13-14,4-13-14,1-3-4-8-10-13-14-15-17,3,9,0.58,0
3,4-13-16,4-13-16,1-3-4-8-10-13-15-16-17,3,9,0.571,0
3,4-13-18,4-13-18,1-3-4-8-10-13-15-17-18,3,9,0.578,0
3,4-13-19,4-13-19,1-3-4-8-10-13-15-17-19,3,9,0.58,0
3,4-13-20,4-13-20,1-3-4-8-10-13-15-17-20,3,9,0.678,0
3,4-13-21,4-13-21,1-3-4-8-10-13-15-17-21,3,9,0.58,0
3,4-14-16,4-14-16,1-3-4-8-10-14-15-16-17,3,9,0.74,0
3,4-14-18,4-14-18,1-3-4-8-10-14-15-17-18,3,9,0.574,0
3,4-14-19,4-14-19,1-3-4-8-10-14-15-17-19,3,9,0.557,0
3,4-14-20,4-14-20,1-3-4-8-10-14-15-17-20,3,9,0.661,0
3,4-14-21,4-14-21,1-3-4-8-10-14-15-17-21,3,9,0.557,0
3,4-16-18,4-16-18,1-3-4-8-10-15-16-17-18,3,9,0.548,0
3,4-16-19,4-16-19,1-3-4-8-10-15-16-17-19,3,9,0.74,0
3,4-16-20,4-16-20,1-3-4-8-10-15-16-17-20,3,9,0.636,0
3,4-16-21,4-16-21,1-3-4-8-10-15-16-17-21,3,9,0.74,0
3,4-18-19,4-18-19,1-3-4-8-10-15-17-18-19,3,9,0.574,0
3,4-18-20,4-18-20,1-3-4-8-10-15-17-18-20,3,9,0.537,0
3,4-18-21,4-18-21,1-3-4-8-10-15-17-18-21,3,9,0.574,0
3,4-19-20,4-19-20,1-3-4-8-10-15-17-19-20,3,9,0.634,0
3,4-19-21,4-19-21,1-3-4-8-10-15-17-19-21,3,9,0.557,0
3,4-20-21,4-20-21,1-3-4-8-10-15-17-20-21,3,9,0.661,0
3,4-5-11,4-5-11,1-3-4-5-8-10-11-15-17,3,9,0.57,0
3,4-5-12,4-5-12,1-3-4-5-8-10-12-15-17,3,9,0.557,0
3,4-5-13,4-5-13,1-3-4-5-8-10-13-15-17,3,9,0.58,0
3,4-5-14,4-5-14,1-3-4-5-8-10-14-15-17,3,9,0.557,0
3,4-5-16,4-5-16,1-3-4-5-8-10-15-16-17,3,9,0.74,0
3,4-5-18,4-5-18,1-3-4-5-8-10-15-17-18,3,9,0.586,0
3,4-5-19,4-5-19,1-3-4-5-8-10-15-17-19,3,9,0.557,0
3,4-5-20,4-5-20,1-3-4-5-8-10-15-17-20,3,9,0.634,0
3,4-5-21,4-5-21,1-3-4-5-8-10-15-17-21,3,9,0.557,0
3,4-5-6,4-5-6,1-3-4-5-6-8-10-15-17,3,9,0.634,0
3,4-5-7,4-5-7,1-3-4-5-7-8-10-15-17,3,9,0.557,0
3,4-5-9,4-5-9,1-3-4-5-8-9-10-15-17,3,9,0.718,0
3,4-6-11,4-6-11,1-3-4-6-8-10-11-15-17,3,9,0.632,0
3,4-6-12,4-6-12,1-3-4-6-8-10-12-15-17,3,9,0.661,0
