partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
architecture,32,2,1,P,B1,feature map block 1,0.0150390625,0.00783024108671465,5,"[0.01979980468749999, 0.009619140625000001, 0.014428710937499995, 0.004418945312500006, 0.02692871093750001]"
architecture,32,4,3,P,B1,feature map block 1,0.014287109374999996,0.007131170044032004,5,"[0.014184570312499986, 0.0061523437499999955, 0.021826171875, 0.006542968749999999, 0.02272949218749999]"
architecture,32,5,4,CX,B1,feature map block 1,0.004370117187499999,0.005570238367044832,5,"[0.007031250000000005, 0.007104492187499995, 0.010864257812500003, 0.0021484374999999906, -0.005297851562500005]"
architecture,32,6,5,P,B1,feature map block 1,-0.0072656249999999995,0.005114745511075445,5,"[-0.009082031249999997, 0.002197265625000007, -0.006542968750000007, -0.010351562500000001, -0.012548828124999998]"
architecture,32,7,6,CX,B1,feature map block 1,0.005854492187499996,0.005589901244736199,5,"[0.0005859374999999988, 0.008544921874999991, 0.012573242187499997, 0.009594726562499996, -0.002026367187500002]"
architecture,32,8,7,H,B2,feature map block 2,0.0098388671875,0.0037682039760476107,5,"[0.004479980468749997, 0.013006591796875007, 0.011029052734374998, 0.006445312499999998, 0.014233398437499996]"
architecture,32,9,8,P,B2,feature map block 2,0.001977539062500002,0.002079653271193525,5,"[0.0014404296874999992, 0.00377197265625, 0.0034179687500000026, -0.0018615722656249987, 0.0031188964843750066]"
architecture,32,10,9,H,B2,feature map block 2,0.0032507324218749994,0.0035245434702144596,5,"[0.0028076171874999974, 0.005358886718750005, -0.0006713867187500004, -6.713867187499857e-05, 0.008825683593749994]"
architecture,32,11,10,P,B2,feature map block 2,-0.0018566894531249986,0.0011038180586675631,5,"[-0.0019531249999999954, -0.002368164062500003, 0.0002929687500000035, -0.0027038574218750016, -0.002551269531249997]"
architecture,32,12,11,CX,B2,feature map block 2,0.004007568359374996,0.0032230460191317993,5,"[0.0015380859374999965, 0.007006835937499995, 3.0517578124997615e-05, 0.002984619140624998, 0.008477783203124995]"
architecture,32,13,12,P,B2,feature map block 2,0.007147216796875003,0.0023007485301568416,5,"[0.007037353515625006, 0.008282470703124998, 0.002752685546874998, 0.009130859374999998, 0.008532714843750013]"
architecture,32,14,13,CX,B2,feature map block 2,0.003774414062499997,0.0025226490926773914,5,"[0.00012207031249999913, 0.0065795898437499955, 0.0026367187500000015, 0.0066833496093749965, 0.0028503417968749937]"
architecture,32,15,14,RY,C,trainable classifier,0.02423828125,0.008669645005540582,5,"[0.034692382812500006, 0.033789062499999994, 0.012988281249999995, 0.022143554687499994, 0.017578124999999993]"
architecture,32,16,15,RY,C,trainable classifier,0.003476562499999998,0.004410469145440853,5,"[0.0017089843749999948, -0.0006347656249999969, 0.010791015625000008, 0.006127929687499991, -0.0006103515625000078]"
architecture,32,17,16,CX,C,trainable classifier,0.004291992187499999,0.002333473564657017,5,"[0.0030517578125, 0.0018798828124999938, 0.004809570312499997, 0.008569335937499999, 0.003149414062500005]"
architecture,32,18,17,RY,C,trainable classifier,0.011538085937500005,0.005306015545054078,5,"[0.006494140625, 0.008496093750000013, 0.011254882812499999, 0.009765624999999991, 0.021679687500000017]"
architecture,32,19,18,RY,C,trainable classifier,-0.000385742187500002,0.0030394242961258185,5,"[-0.003344726562500013, 0.00034179687500001093, 0.004370117187500002, -0.004003906250000013, 0.0007080078125000023]"
